CID,SMILES,Estimated Log Kow ,Measured Log Kow  ,Estimated BP (oC),Estimated MP (oC),Estimated VP (mm Hg),Estimated VP (Pa),Estimated Water Sol. (mg/L),HLC (atm-m3/mole); Group Method (Based on Estimated Data),HLC (atm-m3/mole); Bond Method (Based on Estimated Data),Estimated Koc,Estimated Log Koc,BIOWIN1 (Linear Model) Probability ,BIOWIN2 (Non-Linear Model) Probability ,Estimated Atmospheric Oxidation (half-life-days),Indirect Photolysis (Half-Life-days); Measured,Estimated Ozone Reaction (half-life-days),Measured Ozone Reaction (half-life-days),Estimated Hydrolysis (half-life-days),Estimated BCF,Estimated Log BCF,Estimated Volatilization from Model River (half-life-hours),Estimated Volatilization from Model Lake (half-life-hours),STP Biodegradation (%),STP Sludge Adsorption (%),STP Volatilization (%),STP Total Removal (%),AWS_Air,AWS_Water,AWS_Soil,AWS_Sediments,Paws Score-Air,Paws-Score-Water,Paws-Score-Soil,Paws-Score-Sediments,Paws Score (Total),PEQC/aws (half-life-days),PEQC/aws Score,B Score (BCF),B Score (Log Kow),EXPaws Score (BCF),EXPaws Score (Log Kow),EXPEQC/aws Score (BCF),EXPEQC/aws Score (Log Kow),BIOWIN5 (Linear MITI Model) Probability,BIOWIN6 (Non-Linear MITI Model) Probability,BIOWIN3 numerical output ,BIOWIN4 numerical output,Ready biodegradability prediction,STP Total Removal (%) - default,STP Biodegradation (%) - default,STP Adsorption (%) - default,STP Volatilization (%) - default,Subcooled Liquid VP,WATERNT frag Water Sol estimate,KOAWIN LogKoa estimate,KOAWIN LogKoa measured,KOAWIN Log Kaw,AEROWIN Mackay Kp,AEROWIN Octanol/air Kp,AEROWIN Junge-Pankow phi,AEROWIN Mackay phi,AEROWIN Octanol/air phi
7360,C(C1OCCC1)O ,-0.11,,172.44,-20.87,0.272,36.26,463000.0,2.81e-09,4.09e-09,1.582,0.199,0.5103,0.3201,0.4536,,0.0,,,3.162,0.5,145000.0,1580000.0,0.09,1.76,0.0,1.85,0.0881,37.6,62.2,0.0714,7,37600,62200,71,99878,23.6,429545,1897,466,189,47,815,200,0.6919,0.8151,3.1248,3.8201,YES ,1.85,0.09,1.76,0.0,0.801,1000000.0,6.667,,-6.777,2.81e-08,1.14e-06,1.01e-06,2.25e-06,9.12e-05
7361,C(C1=CC=CO1)O ,0.45,0.28,170.16,-12.39,0.409,54.53,221000.0,,2.17e-07,11.77,1.071,0.8596,0.939,0.1028,,0.0,,,3.162,0.5,7379.0,80600.0,0.09,1.76,0.0,1.86,0.263,37.5,62.2,0.0872,17,37500,62200,87,99804,16.9,307576,1897,1143,189,114,584,352,0.5504,0.7178,3.1423,3.8356,YES ,1.86,0.09,1.76,0.0,0.609,320000.0,5.773,,-5.493,3.69e-08,1.46e-07,1.33e-06,2.96e-06,1.16e-05
7409,CC(C1=CC=CC=C1)O ,1.49,1.42,207.1,-6.87,0.0545,7.266,19500.0,,2.89e-07,33.56,1.526,0.9762,0.9851,0.9124,,0.0,,,2.23,0.348,2240.0,24500.0,0.09,1.86,0.02,1.97,1.45,30.4,68.1,0.098,113,30400,68100,98,98711,19.4,353030,1338,15782,132,1558,472,5571,0.5416,0.708,3.1112,3.8058,YES ,1.97,0.09,1.86,0.02,0.0491,17770.0,6.348,,-4.928,4.58e-07,5.47e-07,1.66e-05,3.67e-05,4.38e-05
7410,C(C)(=O)C1=CC=CC=C1 ,1.67,1.58,189.81,-9.86,0.326,43.46,4484.0,1.09e-05,9.81e-06,51.85,1.715,0.8253,0.9339,5.691,3.904,0.0,,,1.332,0.125,62.83,777.3,0.09,1.9,0.58,2.57,4.6,29.6,65.7,0.117,365,29600,65700,117,95782,18.1,329545,799,22811,77,2185,263,7517,0.5139,0.6249,2.9332,3.6571,YES ,2.57,0.09,1.9,0.58,0.397,6148.7,4.951,,-3.371,5.67e-08,2.19e-08,2.05e-06,4.53e-06,1.75e-06
7463,C1(=CC=C(C=C1)C)C(C)C ,4.0,4.1,178.34,-28.15,1.14,152.0,27.88,0.0131,0.0116,1120.0,3.049,0.793,0.9052,1.253,0.7083,0.0,,,235.6,2.372,1.244,110.7,0.14,23.37,61.36,84.87,6.65,30.3,61.9,1.18,512,30300,61900,1180,93892,8.6,156061,141360,820000,13273,76992,22061,127970,0.3782,0.4353,2.7529,3.517,NO ,84.87,0.14,23.37,61.36,1.64,28.93,4.447,,-0.347,1.37e-08,6.87e-09,4.96e-07,1.1e-06,5.5e-07
7476,C1=CC(=CC=C1OC)C(C)=O ,1.75,1.74,229.45,24.72,0.0133,1.773,2474.0,8.88e-06,5.8e-07,33.22,1.521,0.8148,0.9353,0.5209,,0.0,,,1.698,0.23,82.05,997.8,0.09,1.96,0.5,2.55,1.37,32.8,65.8,0.105,104,32800,65800,105,98809,16.8,304545,1019,32972,101,3258,310,10042,0.612,0.7039,2.7867,3.686,YES ,2.55,0.09,1.96,0.5,0.00876,3616.3,6.365,,-4.625,2.57e-06,5.69e-07,9.28e-05,0.000205,4.55e-05
7500,C(C)C1=CC=CC=C1 ,3.03,3.15,148.3,-46.94,7.59,1012.0,228.6,0.00888,0.00789,446.1,2.649,0.8798,0.9797,1.799,1.506,0.0,,,55.64,1.745,1.128,98.7,0.05,4.32,72.0,76.37,14.4,35.9,49.1,0.643,1131,35900,49100,643,86774,7.3,132576,33384,630000,2897,54668,4426,83523,0.3821,0.4891,2.9117,3.6309,NO ,76.37,0.05,4.32,72.0,9.6,157.63,3.642,3.74,-0.492,2.34e-09,1.35e-09,8.47e-08,1.87e-07,1.08e-07
7519,C1(=CC=CC=C1)OC ,2.07,2.11,149.16,-41.21,3.38,450.6,1741.0,0.00435,0.000319,93.41,1.97,0.9561,0.996,0.4789,0.6183,0.0,,,11.46,1.059,2.319,112.5,0.08,1.96,17.54,19.58,3.96,28.7,67.2,0.161,304,28700,67200,161,96365,11.2,203030,6876,77295,663,7448,1396,15693,0.6272,0.7936,2.9241,3.7737,YES ,19.58,0.08,1.96,17.54,3.54,872.24,3.814,4.01,-1.704,6.36e-09,2.51e-09,2.3e-07,5.08e-07,2.01e-07
7559,C1(=CC=CC=C1)CC(=O)OC ,2.08,1.83,215.57,-0.5,0.157,20.93,2072.0,,1.42e-05,120.0,2.079,1.033,0.9993,2.859,,0.0,,374.0,7.489,0.874,51.78,667.6,0.09,2.01,0.78,2.89,3.85,26.5,69.4,0.175,305,26500,69400,175,96380,18.8,341667,4493,40565,433,3910,1535,13860,0.5949,0.7562,2.9547,3.7964,YES ,2.89,0.09,2.01,0.78,0.145,839.48,5.066,,-3.236,1.55e-07,2.86e-08,5.6e-06,1.24e-05,2.29e-06
7583,C1(=CC=CC=C1)OC2=CC=CC=C2 ,4.05,4.21,269.66,35.35,0.017,2.266,15.58,0.000281,0.000118,1918.0,3.283,1.0546,0.9984,1.087,1.114,0.0,,,278.5,2.445,4.069,153.8,0.37,38.51,6.84,45.73,2.86,18.3,77.7,1.15,223,18300,77700,1150,97373,18.0,327273,167100,842000,16271,81988,54687,275564,0.4832,0.5339,2.8089,3.6891,NO ,45.73,0.37,38.51,6.84,0.0234,22.894,6.153,,-1.943,9.62e-07,3.49e-07,3.47e-05,7.69e-05,2.79e-05
7593,C1(=CC=CC=C1)CC(CC2=CC=CC=C2)=O ,3.18,,327.12,82.88,0.000301,0.04013,74.43,,3.23e-07,3627.0,3.56,1.0198,0.9869,0.9644,,0.0,,,58.29,1.766,2630.0,28800.0,0.14,7.41,0.02,7.56,0.56,15.6,80.5,3.26,44,54600,281750,11410,347804,51.3,931818,34974,636000,12164,221203,32589,592636,0.1751,0.1469,2.6063,3.3949,NO ,7.56,0.14,7.41,0.02,0.000928,13.065,8.059,,-4.879,2.42e-05,2.81e-05,0.000875,0.00194,0.00224
7601,C1(=CC=CC=C1)CC(=O)OCCC2=CC=CC=C2 ,4.28,,343.16,89.4,0.000186,0.0248,5.921,,1.52e-06,8182.0,3.913,1.1728,0.9998,0.9419,,0.0,,321.1,309.6,2.491,598.7,6661.0,0.43,43.75,0.05,44.22,0.666,15.7,76.1,7.47,52,54950,266350,26145,347497,49.2,893939,185760,856000,64551,297457,166058,765212,0.3612,0.3581,2.7027,3.6027,NO ,44.22,0.43,43.75,0.05,0.000192,1.4326,8.487,,-4.207,0.000117,7.53e-05,0.00421,0.00929,0.00599
7632,CC(C)(CCC1=CC=CC=C1)O ,2.93,,246.89,30.36,0.00398,0.5306,667.7,3.08e-07,6.75e-07,154.8,2.19,0.6682,0.7907,0.9274,,0.0,,,39.76,1.599,2438.0,26700.0,0.12,5.02,0.02,5.15,0.636,20.7,78.5,0.196,49,72450,274750,686,347935,44.6,810606,23856,510683,8300,177685,19338,413963,0.3267,0.2947,2.5712,3.3937,NO ,5.15,0.12,5.02,0.02,0.00384,859.21,7.489,,-4.559,5.86e-06,7.57e-06,0.000212,0.000469,0.000605
7635,C(C)(=O)OCC(CCCC)CC ,3.74,,198.83,-20.47,0.379,50.53,38.59,0.00151,0.00127,188.5,2.275,0.9481,0.9985,0.9769,,0.0,,1218.0,135.8,2.133,1.848,130.2,0.17,16.4,31.47,48.05,8.3,29.3,62.2,0.219,646,19045,40430,142,60263,7.5,135606,81480,748000,4910,45077,11049,101433,0.741,0.8913,3.257,4.0972,YES ,48.05,0.17,16.4,31.47,0.23,76.515,5.025,,-1.285,9.78e-08,2.6e-08,3.53e-06,7.83e-06,2.08e-06
7654,C(C)(=O)OCCC1=CC=CC=C1 ,2.57,2.3,234.31,10.6,0.0683,9.106,710.8,3.3e-06,1.88e-05,208.9,2.32,1.0263,0.9992,1.358,,0.0,,538.4,15.29,1.184,228.7,2602.0,0.1,2.54,0.19,2.82,2.25,25.8,71.7,0.254,176,25800,71700,254,97930,19.4,353030,9174,119716,898,11724,3239,42263,0.6026,0.7607,2.9237,3.7761,YES ,2.82,0.1,2.54,0.19,0.0314,266.55,5.414,,-3.114,7.17e-07,6.37e-08,2.59e-05,5.73e-05,5.09e-06
7657,C(C1=CC=CC=C1)OCC2=CC=CC=C2 ,3.48,3.31,300.75,55.7,0.00217,0.2893,66.55,8.29e-08,5.62e-06,4089.0,3.612,0.562,0.5896,0.5073,,0.0,,,70.95,1.851,124.1,1472.0,0.15,9.21,0.35,9.71,1.05,23.3,72.6,2.97,80,23300,72600,2970,98950,19.9,362121,42570,662000,4212,65505,15416,239724,0.0946,0.0868,2.7964,3.5617,NO ,9.71,0.15,9.21,0.35,0.00103,20.346,6.871,,-3.561,2.18e-05,1.82e-06,0.000788,0.00174,0.000146
7695,C(C)(=O)OCC1=CC=C(C=C1)OC ,2.16,,252.81,33.38,0.00258,0.344,782.9,1.23e-06,8.37e-07,73.45,1.866,0.9678,0.9989,0.3744,,0.0,,198.2,12.4,1.093,640.4,7098.0,0.1,2.32,0.07,2.49,0.87,29.0,70.0,0.14,65,29000,70000,140,99205,18.3,332576,7440,86726,738,8604,2474,28843,0.693,0.8156,2.883,3.8938,YES ,2.49,0.1,2.32,0.07,0.00945,474.0,6.626,,-4.466,2.38e-06,1.04e-06,8.6e-05,0.00019,8.3e-05
7720,C(C)C(CO)CCCC ,2.73,,188.52,-25.5,0.185,24.66,1379.0,4.66e-05,3.1e-05,35.28,1.548,0.9527,0.984,0.8085,,0.0,,,29.48,1.47,26.38,383.4,0.11,3.8,1.41,5.32,3.18,31.9,64.8,0.0959,246,20735,42120,62,63163,10.6,193182,17688,322219,1117,20352,3417,62247,0.6831,0.8649,3.3697,4.0584,YES ,5.32,0.11,3.8,1.41,0.136,1285.3,5.695,,-2.965,1.65e-07,1.22e-07,5.98e-06,1.32e-05,9.73e-06
7731,CC1=CC=C(C=C1)OC ,2.62,2.66,170.8,-23.0,1.2,160.0,527.1,0.00466,0.000352,149.9,2.176,0.876,0.9837,0.3914,,0.0,,,26.43,1.422,1.267,106.5,0.05,2.1,63.31,65.46,6.97,48.9,43.7,0.378,522,48900,43700,378,93500,5.4,98485,15858,274253,1483,25643,1562,27010,0.6187,0.7556,2.7962,3.6801,YES ,65.46,0.05,2.1,63.31,1.09,293.93,4.502,,-1.842,2.06e-08,7.8e-09,7.46e-07,1.65e-06,6.24e-07
7749,C(CC)(=O)OCC ,1.36,1.21,102.3,-69.32,38.9,5186.0,10700.0,0.000223,0.000309,10.65,1.027,0.8731,0.9965,5.049,4.998,0.0,,786.5,2.92,0.465,3.389,121.7,0.09,1.65,10.6,12.34,17.2,39.7,43.0,0.0905,1368,39700,43000,91,84158,9.7,176515,1752,9731,147,819,309,1718,0.8517,0.9489,3.1137,3.9293,YES ,12.34,0.09,1.65,10.6,35.9,13109.0,3.199,3.15,-1.989,6.27e-10,3.47e-10,2.26e-08,5.01e-08,2.77e-08
7761,C(CC(=O)OCC)(=O)OCC ,0.9,0.96,166.02,-83.29,0.361,48.13,10300.0,,7.36e-07,10.0,1.0,1.0197,0.9999,3.134,,0.0,,16.2,3.162,0.5,354.1,3969.0,0.09,1.79,0.12,2.0,4.28,38.1,57.5,0.0858,339,38100,57500,86,96025,16.7,303788,1897,5472,182,525,576,1662,1.0722,0.984,3.1256,4.0746,YES ,2.0,0.09,1.79,0.12,0.269,22475.0,5.026,,-4.066,8.36e-08,2.61e-08,3.02e-06,6.69e-06,2.08e-06
7762,C(CCC)(=O)OCC ,1.85,,125.79,-56.83,14.6,1947.0,2745.0,0.000315,0.00041,19.41,1.288,0.8664,0.9957,3.208,2.165,0.0,,1280.0,7.678,0.885,2.681,119.6,0.08,1.78,15.21,17.07,13.7,39.8,46.4,0.105,1082,39800,46400,105,87387,8.7,157576,4607,42477,403,3712,726,6693,0.8594,0.9501,3.0827,3.9091,YES ,17.07,0.08,1.78,15.21,12.8,4329.4,3.637,3.56,-1.787,1.76e-09,8.91e-10,6.35e-08,1.41e-07,7.13e-08
7765,C(OC(C)OCC)C ,1.2,0.84,107.53,-68.6,39.4,5253.0,19500.0,9.97e-05,0.000118,6.946,0.842,-0.0034,0.004,0.5453,,0.0,,,3.162,0.5,7.637,174.5,0.09,1.71,4.78,6.58,3.33,43.7,52.9,0.0928,254,43700,52900,93,96947,10.7,194697,1897,4151,184,402,369,808,0.4129,0.4298,2.9207,3.6578,NO ,6.58,0.09,1.71,4.78,27.6,36224.0,3.239,,-2.399,8.15e-10,4.26e-10,2.94e-08,6.52e-08,3.4e-08
7768,O=C1NCCCCC1 ,0.66,,273.94,66.74,0.00362,0.4826,28700.0,,2.53e-08,24.5,1.389,0.9038,0.9836,0.582,,0.0,,,3.162,0.5,24600.0,269000.0,0.09,1.77,0.0,1.87,0.369,27.8,71.7,0.0794,28,27800,71700,79,99608,24.2,439394,1897,2743,189,273,834,1205,0.6008,0.7904,2.8949,3.8899,YES ,1.87,0.09,1.77,0.0,0.00439,348000.0,6.645,,-5.985,5.13e-06,1.08e-06,0.000185,0.00041,8.67e-05
7770,C(CCC)(=O)OCCC ,2.34,,148.37,-44.6,5.54,738.6,925.9,0.000445,0.000545,35.37,1.549,0.8597,0.9947,2.216,1.443,0.0,,1509.0,16.19,1.209,2.215,119.8,0.08,2.21,21.33,23.62,11.7,38.8,49.4,0.128,918,38800,49400,128,89246,8.1,147727,9714,131266,867,11715,1435,19392,0.8671,0.9512,3.0517,3.8889,YES ,23.62,0.08,2.21,21.33,5.95,1409.0,3.925,,-1.585,3.78e-09,2.07e-09,1.37e-07,3.03e-07,1.65e-07
7792,CC(CCO)CCCC(C)C ,3.64,,216.17,-13.66,0.0356,4.746,175.4,0.000112,5.47e-05,94.15,1.974,0.8309,0.8675,0.6841,,0.0,,,117.2,2.069,14.75,266.4,0.21,16.21,2.39,18.8,1.95,26.8,71.1,0.151,150,26800,71100,151,98201,16.8,304545,70320,728000,6905,71490,21416,221709,0.5493,0.7244,3.0093,3.7488,YES ,18.8,0.21,16.21,2.39,0.0323,220.78,6.29,,-2.65,6.97e-07,4.79e-07,2.52e-05,5.57e-05,3.83e-05
7793,CC(CCC=C(C)C)CCO ,3.56,3.91,228.21,-12.16,0.0169,2.253,105.5,2.13e-05,5.68e-05,94.15,1.974,0.8319,0.8707,0.1087,,0.02665,,,176.5,2.247,14.16,259.3,0.28,25.54,2.17,27.99,0.0778,27.1,72.7,0.152,5,27100,72700,152,99957,16.3,296970,105900,782000,10585,78166,31449,232230,0.5628,0.6734,3.0138,3.7517,YES ,27.99,0.28,25.54,2.17,0.0441,472.85,6.544,,-2.634,5.1e-07,8.59e-07,1.84e-05,4.08e-05,6.87e-05
7795,C(CCC)(=O)OCCC(C)C ,3.25,,178.41,-32.06,1.01,134.7,117.8,0.00107,0.00096,98.81,1.995,0.8464,0.9922,1.399,,0.0,,1509.0,64.39,1.809,1.972,127.0,0.11,7.06,28.63,35.8,10.2,32.4,57.2,0.188,800,32400,57200,188,90588,9.0,163636,38634,650000,3500,58882,6322,106364,0.7333,0.8889,2.9897,3.8484,YES ,35.8,0.11,7.06,28.63,0.95,242.04,4.656,,-1.406,2.37e-08,1.11e-08,8.55e-07,1.89e-06,8.89e-07
7797,C(CCCCCC)(=O)OCC ,3.32,,190.83,-20.94,0.686,91.46,101.9,0.000888,0.00096,117.5,2.07,0.9548,0.9988,1.412,,0.0,,1280.0,72.0,1.857,2.76,135.6,0.13,8.56,16.58,25.27,7.99,27.1,64.8,0.15,627,17615,42120,98,60459,8.9,161364,43200,664000,2612,40145,6971,107145,0.8824,0.9534,3.288,4.1175,YES ,25.27,0.13,8.56,16.58,0.68,144.42,5.01,,-1.69,3.31e-08,2.51e-08,1.2e-06,2.65e-06,2.01e-06
7799,C(CCCCCCC)(=O)OCC ,3.81,,210.7,-9.5,0.235,31.33,33.39,0.00125,0.00127,214.1,2.331,0.9481,0.9985,1.19,,0.0,,1280.0,151.8,2.181,1.954,131.4,0.19,18.91,27.17,46.28,8.38,27.1,64.3,0.22,655,17615,41795,143,60208,8.1,147727,91080,762000,5484,45879,13455,112568,0.8901,0.9545,3.257,4.0972,YES ,46.28,0.19,18.91,27.17,0.217,45.656,5.095,,-1.285,1.04e-07,3.05e-08,3.75e-06,8.29e-06,2.44e-06
7803,C(CC)(=O)OCCC ,1.85,,125.79,-56.83,14.0,1867.0,2745.0,0.000315,0.00041,19.41,1.288,0.8664,0.9957,2.962,2.661,0.0,,926.8,7.678,0.885,2.673,119.5,0.08,1.78,15.26,17.13,15.1,39.2,45.5,0.104,1195,39200,45500,104,85999,8.8,159849,4607,42477,396,3653,736,6790,0.8594,0.9501,3.0827,3.9091,YES ,17.13,0.08,1.78,15.26,13.9,4329.4,3.635,,-1.785,1.62e-09,1.06e-09,5.85e-08,1.29e-07,8.47e-08
7820,C(CCC(=O)OC)(=O)OC ,0.4,0.35,144.16,-95.3,0.432,57.6,39600.0,6.43e-08,5.54e-07,10.0,1.0,1.0263,0.9999,9.321,7.64,0.0,,848.5,3.162,0.5,11000.0,120000.0,0.09,1.76,0.0,1.86,1.13,32.0,66.8,0.072,90,32000,66800,72,98962,24.0,436364,1897,1343,188,133,828,586,1.0645,0.9836,3.1566,4.0948,YES ,1.86,0.09,1.76,0.0,0.41,70618.0,4.995,,-4.645,5.49e-08,2.43e-08,1.98e-06,4.39e-06,1.94e-06
7824,C(CCCCC)(=O)OC ,2.34,,148.37,-44.6,4.1,546.6,925.9,0.000466,0.000545,35.37,1.549,0.9682,0.9992,2.268,,0.0,,1209.0,16.19,1.209,2.985,128.2,0.09,2.35,14.17,16.6,12.9,32.5,54.4,0.0977,1019,21125,35360,64,57568,7.9,143939,9714,131266,559,7557,1398,18894,0.8671,0.9512,3.35,4.1579,YES ,16.6,0.09,2.35,14.17,3.72,1409.0,4.164,,-1.824,6.05e-09,3.58e-09,2.18e-07,4.84e-07,2.86e-07
7826,C(CCCCCC)(=O)OC ,2.83,,170.05,-32.64,1.29,172.0,308.7,0.000658,0.000723,64.46,1.809,0.9615,0.999,1.745,,0.0,,1209.0,34.14,1.533,2.294,125.7,0.09,3.79,21.44,25.32,12.1,31.4,56.3,0.125,953,20410,36595,81,58039,7.5,137121,20484,405650,1189,23544,2809,55623,0.8747,0.9523,3.319,4.1377,YES ,25.32,0.09,3.79,21.44,1.17,453.25,4.359,,-1.529,1.92e-08,5.61e-09,6.95e-07,1.54e-06,4.49e-07
7894,C(CC(C)C)N ,1.25,,97.33,-57.81,44.5,5933.0,110000.0,2.94e-05,2.35e-05,67.78,1.831,0.8599,0.9469,0.2986,,0.0,,,3.114,0.493,19.55,291.5,0.09,1.8,1.59,3.48,0.9,28.9,70.1,0.133,66,28900,70100,133,99199,16.8,305303,1868,10670,185,1058,570,3257,0.5351,0.6278,3.031,3.7653,YES ,3.48,0.09,1.8,1.59,42.4,81296.0,4.267,,-3.017,5.31e-10,4.54e-09,1.92e-08,4.25e-08,3.63e-07
7915,C(C)(=O)OC(C)C ,1.28,,87.71,-81.08,60.8,8106.0,9268.0,0.00037,0.000309,8.558,0.932,0.8731,0.9965,3.073,3.146,0.0,,883.3,3.256,0.513,3.16,119.2,0.08,1.65,11.5,13.24,15.9,42.5,41.5,0.0931,1261,42500,41500,93,85354,8.9,161364,1954,11433,167,976,315,1845,0.7026,0.8789,3.1137,3.9293,YES ,13.24,0.08,1.65,11.5,60.4,21969.0,3.224,2.93,-1.944,3.73e-10,2.09e-10,1.35e-08,2.98e-08,1.67e-08
7916,C(C)(=O)OC(=C)C ,1.28,,93.93,-79.63,42.6,5680.0,9522.0,,0.00183,8.558,0.932,0.8741,0.9966,0.2074,0.1537,1.007,16.37,301.4,3.223,0.508,1.341,98.53,0.06,1.18,42.25,43.49,4.27,72.8,22.8,0.159,1951,72800,22800,159,97710,3.8,69773,1934,11433,189,1117,135,798,0.7712,0.8982,3.1181,3.9323,YES ,43.49,0.06,1.18,42.25,40.6,21850.0,2.406,,-1.126,5.54e-10,6.25e-11,2e-08,4.43e-08,5e-09
7921,CC1CCC(=O)O1 ,0.11,,191.57,-34.29,3.76e-10,5.01e-08,93800.0,4.25e-05,0.000136,10.39,1.017,0.8741,0.9966,2.858,,0.0,,,3.162,0.5,14.81,245.4,0.09,1.73,2.25,4.06,2.08,31.0,66.8,0.0704,15183,31000,66800,70,113054,21.2,384848,1897,773,214,87,730,297,0.8103,0.9202,3.1181,3.9323,YES ,4.06,0.09,1.73,2.25,54.2,20607.0,2.365,,-2.255,4.15e-10,5.69e-11,1.5e-08,3.32e-08,4.55e-09
7937,CC1=NC(=CC=C1)C ,1.9,1.68,158.57,-7.55,5.27,702.6,81500.0,1.14e-05,8.59e-06,184.6,2.266,0.6513,0.7317,3.829,,0.0,,,5.963,0.775,59.33,734.1,0.09,1.93,0.58,2.61,2.08,21.1,76.5,0.232,19364,73850,267750,812,361776,40.3,732576,3578,28718,1294,10389,2621,21038,0.4674,0.4868,2.5985,3.5373,NO ,2.61,0.09,1.93,0.58,5.65,29835.0,5.051,,-3.371,3.98e-09,2.76e-08,1.44e-07,3.19e-07,2.21e-06
7967,C1(CCCCC1)=O ,1.13,0.81,154.98,-29.56,4.04,538.6,24100.0,1.28e-05,5.11e-05,17.38,1.24,0.7077,0.7617,0.8842,1.674,0.0,,,3.162,0.5,65.46,797.2,0.09,1.77,0.5,2.37,3.43,36.0,60.5,0.0921,15627,36000,60500,92,112220,16.2,294697,1897,3874,213,435,559,1142,0.6365,0.8466,2.9598,3.6839,YES ,2.37,0.09,1.77,0.5,4.33,44013.0,4.244,,-3.434,5.2e-09,4.31e-09,1.88e-07,4.16e-07,3.44e-07
7969,C1(=CC=CC=C1)S ,2.69,2.52,176.14,-31.86,1.63,217.3,765.5,0.000338,0.000522,233.9,2.369,0.8232,0.9624,0.945,0.955,0.0,,,21.36,1.33,2.905,119.7,0.09,2.78,13.14,16.01,3.5,22.0,74.3,0.236,9475,22000,74300,236,106011,15.0,273485,12816,198679,1359,21062,3505,54336,0.4255,0.4864,2.9777,3.6937,NO ,16.01,0.09,2.78,13.14,1.93,224.88,4.383,,-1.863,1.17e-08,5.93e-09,4.21e-07,9.33e-07,4.74e-07
7983,C(CCC)(=O)OCCCC ,2.83,,170.05,-32.64,1.76,234.6,308.7,0.000629,0.000723,64.46,1.809,0.9615,0.999,1.714,1.009,0.0,,1509.0,34.14,1.533,2.249,125.2,0.09,3.78,22.1,25.97,8.87,32.9,58.1,0.13,25291,21385,37765,85,84525,7.2,130303,20484,405650,1731,34288,2669,52857,0.8747,0.9523,3.319,4.1377,YES ,25.97,0.09,3.78,22.1,1.81,453.25,4.381,,-1.551,1.24e-08,5.9e-09,4.49e-07,9.94e-07,4.72e-07
7991,C(CCCC)(=O)O ,1.56,1.39,187.75,14.76,0.717,95.59,18600.0,8.29e-07,1.28e-06,4.782,0.68,0.88,0.9828,2.602,,0.0,,,3.162,0.5,1255.0,13800.0,0.09,1.85,0.03,1.97,4.56,36.3,59.0,0.0694,30713,23595,38350,45,92704,11.8,215152,1897,14728,176,1365,408,3169,0.7381,0.8828,3.6364,4.355,YES ,1.97,0.09,1.85,0.03,0.196,32125.0,6.105,,-4.715,1.15e-07,3.13e-07,4.15e-06,9.18e-06,2.5e-05
7997,C(C)(=O)OCCC ,1.36,1.24,102.3,-69.32,35.1,4680.0,10100.0,0.000223,0.000309,10.17,1.007,0.8731,0.9965,3.346,3.146,0.0,,782.6,3.056,0.485,3.745,125.6,0.09,1.68,9.46,11.22,13.8,40.7,45.5,0.0918,109249,40700,45500,92,195541,9.8,177273,1834,10427,359,2039,325,1848,0.8517,0.9489,3.1137,3.9293,YES ,11.22,0.09,1.68,9.46,35.9,13109.0,3.29,3.17,-2.05,6.27e-10,3.63e-10,2.26e-08,5.01e-08,2.9e-08
8007,C(CCC)N ,0.83,0.97,87.68,-58.76,94.7,12600.0,203000.0,1.73e-05,1.77e-05,44.22,1.646,0.975,0.9928,0.3108,,0.0,,,3.162,0.5,29.65,395.2,0.09,1.78,0.96,2.83,1.36,31.6,66.9,0.105,1244,20540,43485,68,65338,10.8,195455,1897,5600,124,366,371,1094,0.6765,0.8081,3.3603,4.0546,YES ,2.83,0.09,1.78,0.96,92.9,140000.0,4.118,3.61,-3.148,2.42e-10,1e-09,8.75e-09,1.94e-08,8e-08
8025,C(=O)OCC ,0.32,0.23,55.0,-86.22,246.0,32800.0,85100.0,0.000274,0.000319,3.642,0.561,0.8865,0.9976,6.437,10.49,0.0,,5.409,3.162,0.5,2.187,96.03,0.08,1.53,14.84,16.46,27.4,43.1,29.4,0.0856,274000,43100,29400,86,346586,8.3,150000,1897,1019,658,353,285,153,0.8853,0.9638,3.1757,3.9698,YES ,16.46,0.08,1.53,14.84,245.0,68609.0,2.033,2.19,-1.803,9.18e-11,3.8e-11,3.32e-09,7.35e-09,3.04e-09
8030,S1C=CC=C1 ,1.81,1.81,113.93,-45.67,73.8,9839.0,3654.0,,0.00293,79.99,1.903,0.7075,0.8598,1.122,1.122,0.0,,,7.265,0.861,1.173,89.71,0.06,1.24,47.23,48.54,13.8,43.7,42.3,0.222,43471,43700,42300,222,129693,6.3,114394,4359,38739,565,5024,499,4432,0.4947,0.6404,3.0132,3.7263,NO ,48.54,0.06,1.24,47.23,79.7,3601.3,2.842,,-1.032,2.82e-10,1.71e-10,1.02e-08,2.26e-08,1.36e-08
8038,C(C)(=O)OCC(C)C ,1.77,1.78,111.74,-68.43,18.3,2440.0,3128.0,0.000379,0.00041,15.6,1.193,0.8664,0.9957,2.325,1.945,0.0,,1218.0,6.941,0.841,2.49,117.5,0.08,1.72,16.77,18.58,14.6,42.7,42.6,0.106,76144,42700,42600,106,161550,7.9,143182,4165,36154,673,5841,596,5177,0.7103,0.8815,3.0827,3.9091,YES ,18.58,0.08,1.72,16.77,17.8,7255.6,3.511,3.45,-1.731,1.26e-09,6.92e-10,4.57e-08,1.01e-07,5.53e-08
